Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
3.76267	node2	0	37	FullDelay	0.0626688	62668.8	1	3
3.86267	node2	0	38	LastDelay	0.0626688	62668.8	1	3
3.86267	node2	0	38	FullDelay	0.0626688	62668.8	1	3
3.94178	node2	0	39	LastDelay	0.0417792	41779.2	1	2
3.94178	node2	0	39	FullDelay	0.0417792	41779.2	1	2
4.04178	node2	0	40	LastDelay	0.0417792	41779.2	1	2
4.04178	node2	0	40	FullDelay	0.0417792	41779.2	1	2
4.14178	node2	0	41	LastDelay	0.0417792	41779.2	1	2
4.14178	node2	0	41	FullDelay	0.0417792	41779.2	1	2
4.24178	node2	0	42	LastDelay	0.0417792	41779.2	1	2
4.24178	node2	0	42	FullDelay	0.0417792	41779.2	1	2
4.36267	node2	0	43	LastDelay	0.0626688	62668.8	1	3
4.36267	node2	0	43	FullDelay	0.0626688	62668.8	1	3
4.46267	node2	0	44	LastDelay	0.0626688	62668.8	1	3
4.46267	node2	0	44	FullDelay	0.0626688	62668.8	1	3
4.54178	node2	0	45	LastDelay	0.0417792	41779.2	1	2
4.54178	node2	0	45	FullDelay	0.0417792	41779.2	1	2
4.64178	node2	0	46	LastDelay	0.0417792	41779.2	1	2
4.64178	node2	0	46	FullDelay	0.0417792	41779.2	1	2
4.74178	node2	0	47	LastDelay	0.0417792	41779.2	1	2
4.74178	node2	0	47	FullDelay	0.0417792	41779.2	1	2
4.84178	node2	0	48	LastDelay	0.0417792	41779.2	1	2
4.84178	node2	0	48	FullDelay	0.0417792	41779.2	1	2
4.94178	node2	0	49	LastDelay	0.0417792	41779.2	1	2
4.94178	node2	0	49	FullDelay	0.0417792	41779.2	1	2
5.04178	node2	0	50	LastDelay	0.0417792	41779.2	1	2
5.04178	node2	0	50	FullDelay	0.0417792	41779.2	1	2
5.14178	node2	0	51	LastDelay	0.0417792	41779.2	1	2
5.14178	node2	0	51	FullDelay	0.0417792	41779.2	1	2
5.24178	node2	0	52	LastDelay	0.0417792	41779.2	1	2
5.24178	node2	0	52	FullDelay	0.0417792	41779.2	1	2
5.34178	node2	0	53	LastDelay	0.0417792	41779.2	1	2
5.34178	node2	0	53	FullDelay	0.0417792	41779.2	1	2
5.44178	node2	0	54	LastDelay	0.0417792	41779.2	1	2
5.44178	node2	0	54	FullDelay	0.0417792	41779.2	1	2
5.54178	node2	0	55	LastDelay	0.0417792	41779.2	1	2
5.54178	node2	0	55	FullDelay	0.0417792	41779.2	1	2
